row_id,fixture_id,gameweek,team,team_short,opponent,opponent_short,venue,official_fdr,goals_for,goals_against,goal_difference,xg,xga,xg_difference,global_gd_quintile,global_xgd_quintile,team_gd_quintile,team_xgd_quintile,pre_match_xg_baseline,xg_factor_vs_team_median,defensive_factor_vs_team_median
218:17,218,22,Sunderland,SUN,Crystal Palace,CRY,H,3,2,1,1,1.71,0.61,1.1,2,1,2,1,0.9725869963369964,1.9655172413793103,2.237704918032787
218:8,218,22,Crystal Palace,CRY,Sunderland,SUN,A,3,1,2,-1,0.61,1.71,-1.1,4,5,4,5,1.5610485347985343,0.3922829581993569,0.8099415204678363
217:16,217,22,Nott'm Forest,NFO,Arsenal,ARS,H,4,0,0,0,0.34,2.1,-1.76,3,5,2,5,1.224510073260073,0.3090909090909091,0.6952380952380952
217:1,217,22,Arsenal,ARS,Nott'm Forest,NFO,A,3,0,0,0,2.1,0.34,1.76,3,1,4,1,1.6714331501831503,1.1898016997167138,1.6617647058823526
220:20,220,22,Wolves,WOL,Newcastle,NEW,H,3,0,0,0,0.29,0.94,-0.6499999999999999,3,4,1,3,1.0106639194139195,0.39999999999999997,1.4095744680851066
220:15,220,22,Newcastle,NEW,Wolves,WOL,A,2,0,0,0,0.94,0.29,0.6499999999999999,3,2,3,2,1.4710485347985345,0.6416382252559727,4.517241379310345
211:2,211,22,Aston Villa,AVL,Everton,EVE,H,3,0,1,-1,1.44,0.51,0.9299999999999999,4,2,4,1,1.2487408424908426,1.28,2.4705882352941178
211:9,211,22,Everton,EVE,Aston Villa,AVL,A,4,1,0,1,0.51,1.44,-0.9299999999999999,2,4,2,4,1.176048534798535,0.47887323943661975,1.0
212:6,212,22,Brighton,BHA,Bournemouth,BOU,H,3,1,1,0,1.02,1.29,-0.27,3,3,3,4,1.5302793040293037,0.7058823529411765,0.9147286821705426
212:4,212,22,Bournemouth,BOU,Brighton,BHA,A,4,1,1,0,1.29,1.02,0.27,3,3,3,3,1.5202793040293041,0.80625,1.3137254901960784
230:19,230,23,West Ham,WHU,Sunderland,SUN,H,2,3,1,2,1.52,0.67,0.85,1,2,1,1,1.156590909090909,1.5124378109452739,2.1567164179104474
230:17,230,23,Sunderland,SUN,West Ham,WHU,A,3,1,3,-2,0.67,1.52,-0.85,5,4,5,4,0.9991835016835018,0.7701149425287357,0.8980263157894737
224:3,224,23,Burnley,BUR,Spurs,TOT,H,3,2,2,0,1.44,2.05,-0.6099999999999999,3,4,2,2,0.9469612794612793,1.6647398843930636,0.9756097560975611
224:18,224,23,Spurs,TOT,Burnley,BUR,A,2,2,2,0,2.05,1.44,0.6099999999999999,3,2,3,1,1.062516835016835,1.9902912621359221,0.9270833333333334
227:10,227,23,Fulham,FUL,Brighton,BHA,H,3,2,1,1,1.05,1.59,-0.54,2,4,2,4,1.155479797979798,0.9417040358744395,0.889937106918239
227:6,227,23,Brighton,BHA,Fulham,FUL,A,3,1,2,-1,1.59,1.05,0.54,4,2,4,2,1.510664983164983,1.1003460207612459,1.1238095238095238
228:13,228,23,Man City,MCI,Wolves,WOL,H,1,2,0,2,0.86,0.61,0.25,1,3,2,4,1.768072390572391,0.4267990074441688,1.6065573770491803
228:20,228,23,Wolves,WOL,Man City,MCI,A,5,0,2,-2,0.61,0.86,-0.25,5,3,4,3,0.9832575757575759,0.8413793103448276,1.540697674418605
222:4,222,23,Bournemouth,BOU,Liverpool,LIV,H,3,3,2,1,2.35,0.93,1.42,2,1,2,1,1.5110353535353536,1.46875,1.4408602150537635
222:12,222,23,Liverpool,LIV,Bournemouth,BOU,A,4,2,3,-1,0.93,2.35,-1.42,4,5,4,5,1.5617760942760943,0.5942492012779553,0.448936170212766
223:5,223,23,Brentford,BRE,Nott'm Forest,NFO,H,3,0,2,-2,1.81,0.78,1.03,5,2,5,2,1.5888131313131315,1.1947194719471947,1.698717948717949
223:16,223,23,Nott'm Forest,NFO,Brentford,BRE,A,3,2,0,2,0.78,1.81,-1.03,1,4,1,4,1.1910353535353535,0.7090909090909091,0.8066298342541436
